"FID"	"IID"	"Sigs160.Attractors_IFIT3"	"Sigs160.Attractors_LYM"	"Sigs160.Bindea_aDC"	"Sigs160.Bindea_B.cells"	"Sigs160.Bindea_CD8.T.cells"
"TCGA-WC-AA9A"	"TCGA-WC-AA9A"	8.098323937	3.748375083	-0.024099606	-0.079439694	0.198383193
"TCGA-WC-A880"	"TCGA-WC-A880"	5.611511346	6.105741463	-0.086145101	-0.095734802	0.198979791
"TCGA-WC-A88A"	"TCGA-WC-A88A"	6.075704976	6.078771058	-0.057901154	-0.081590094	0.189919848
"TCGA-YZ-A985"	"TCGA-YZ-A985"	5.881215368	6.067788909	0.014400516	-0.089215048	0.187623252
"TCGA-WC-A881"	"TCGA-WC-A881"	6.820076213	6.385237307	-0.075604556	-0.083190852	0.209447606
"TCGA-V4-A9EI"	"TCGA-V4-A9EI"	8.154155165	6.681788	-0.010220018	-0.089384935	0.185227144
"TCGA-V4-A9E9"	"TCGA-V4-A9E9"	4.256995609	5.044938977	-0.033774867	-0.102678659	0.184761325
"TCGA-V4-A9EZ"	"TCGA-V4-A9EZ"	10.18149216	6.466390113	0.105932254	-0.081798342	0.193189779
"TCGA-V4-A9ES"	"TCGA-V4-A9ES"	6.504851864	4.417904089	-0.055114747	-0.078195497	0.188153965
"TCGA-VD-A8KD"	"TCGA-VD-A8KD"	8.634070515	9.316254559	0.018889247	0.005573491	0.228612902
"TCGA-WC-AA9E"	"TCGA-WC-AA9E"	9.730676112	6.292637755	0.038141561	-0.05985251	0.20691118
"TCGA-V4-A9F7"	"TCGA-V4-A9F7"	6.297053319	4.844291752	-0.045972839	-0.076402399	0.20646482
"TCGA-WC-A882"	"TCGA-WC-A882"	7.959510304	7.410712452	0.035504104	-0.054275843	0.194628738
"TCGA-VD-AA8O"	"TCGA-VD-AA8O"	7.919236438	7.603217018	0.025600744	-0.078037977	0.194031477
"TCGA-VD-A8KK"	"TCGA-VD-A8KK"	6.794124434	6.488400817	-0.040178497	-0.062451343	0.189177196
"TCGA-WC-A888"	"TCGA-WC-A888"	8.988964768	9.351747447	0.037120337	0.014170846	0.226574221
"TCGA-YZ-A984"	"TCGA-YZ-A984"	6.93477756	5.261308043	-0.043884296	-0.088782427	0.181783973
"TCGA-WC-A87Y"	"TCGA-WC-A87Y"	8.262108603	8.501900584	-0.038678205	-0.061763244	0.210928242
"TCGA-VD-AA8P"	"TCGA-VD-AA8P"	7.066904538	5.343956198	-0.020146385	-0.045088818	0.188885476
"TCGA-VD-A8KL"	"TCGA-VD-A8KL"	5.081003236	4.904484399	-0.050150984	-0.100932065	0.188894427
"TCGA-VD-A8KE"	"TCGA-VD-A8KE"	6.416917605	6.182851604	-0.015326883	-0.071811812	0.196717464
"TCGA-V4-A9EA"	"TCGA-V4-A9EA"	5.432710356	5.148837256	-0.032177671	-0.044423445	0.174992302
"TCGA-VQ-A8PC"	"TCGA-VQ-A8PC"	12.17491872	9.451639489	0.167151317	-0.046736147	0.137999743
"TCGA-4C-A93U"	"TCGA-4C-A93U"	10.02827164	8.778229552	0.105633162	-0.051938788	0.218034414
"TCGA-QD-A8IV"	"TCGA-QD-A8IV"	9.405888796	7.602804165	0.022648902	-0.045683031	0.220881837
"TCGA-DE-A69K"	"TCGA-DE-A69K"	9.910523843	7.784629685	0.088478824	-0.069818132	0.203417539
"TCGA-DE-A69J"	"TCGA-DE-A69J"	8.603736893	7.710691231	0.069563483	-0.076628793	0.204789415
"TCGA-DE-A7U5"	"TCGA-DE-A7U5"	9.925905594	8.987351209	0.185228326	-0.063754547	0.214316198
"TCGA-FY-A76V"	"TCGA-FY-A76V"	8.615293676	7.830418118	-0.007042408	-0.058322703	0.211874911
"TCGA-MK-A84Z"	"TCGA-MK-A84Z"	9.697569604	6.586723871	0.012401201	-0.076985068	0.206070347
"TCGA-33-AASD"	"TCGA-33-AASD"	8.734718681	6.939153065	0.167426416	-0.100829693	0.171870906
"TCGA-33-AASL"	"TCGA-33-AASL"	10.05980979	8.107927087	0.274159286	-0.076087857	0.196978837
"TCGA-NK-A7XE"	"TCGA-NK-A7XE"	8.43124622	7.396713941	0.159519561	-0.094045778	0.199570793
"TCGA-XC-AA0X"	"TCGA-XC-AA0X"	7.671052267	9.830556202	0.232670667	-0.000234317	0.200908025
"TCGA-33-AASI"	"TCGA-33-AASI"	8.873072961	8.725971845	0.240531012	0.016900386	0.200160328
"TCGA-33-AASJ"	"TCGA-33-AASJ"	9.229605615	7.103757692	0.243634544	-0.039368911	0.208328509
"TCGA-6A-AB49"	"TCGA-6A-AB49"	7.120316477	5.642899774	0.153952024	-0.148871307	0.194499651
"TCGA-33-AAS8"	"TCGA-33-AAS8"	6.932657208	7.344429668	0.169310827	0.015178479	0.191604803
"TCGA-LA-A7SW"	"TCGA-LA-A7SW"	8.830715729	7.450567641	0.1163869	-0.092342241	0.173170826
"TCGA-33-AASB"	"TCGA-33-AASB"	7.145195776	6.165228321	0.199263762	-0.115514998	0.219593651
"TCGA-56-A62T"	"TCGA-56-A62T"	10.33181558	8.530565108	0.217598361	-0.063348271	0.179707582
"TCGA-GN-A9SD"	"TCGA-GN-A9SD"	NA	NA	NA	NA	NA
"TCGA-W3-AA1V"	"TCGA-W3-AA1V"	NA	NA	NA	NA	NA
"TCGA-BF-AAP4"	"TCGA-BF-AAP4"	8.374838152	9.235821678	0.126261772	-0.044683798	0.219370982
"TCGA-XV-AAZW"	"TCGA-XV-AAZW"	7.513193311	6.41201125	-0.055971202	-0.109974203	0.185430741
"TCGA-XV-AB01"	"TCGA-XV-AB01"	NA	NA	NA	NA	NA
"TCGA-BF-AAP7"	"TCGA-BF-AAP7"	10.75017433	10.15798222	0.176424622	-0.001528052	0.216017216
"TCGA-BF-AAP2"	"TCGA-BF-AAP2"	10.3288344	8.233266961	0.134628817	-0.029387163	0.202980131
