"FID"	"IID"	"Sigs160.Bindea_Cytotoxic.cells"	"Sigs160.Bindea_DC"	"Sigs160.Bindea_Eosinophils"	"Sigs160.Bindea_iDC"	"Sigs160.Bindea_Lymph.vessels"
"TCGA-WC-A884"	"TCGA-WC-A884"	-0.002541819	-0.056824707	0.044971192	0.097135309	-0.014986662
"TCGA-VD-AA8T"	"TCGA-VD-AA8T"	-0.086078913	-0.10078654	0.094724738	0.010375996	0.018529801
"TCGA-VD-AA8M"	"TCGA-VD-AA8M"	-0.016195184	-0.072301876	0.052618016	0.056233955	-0.065295627
"TCGA-VD-A8KI"	"TCGA-VD-A8KI"	0.00205426	-0.03343711	0.06600946	0.064348985	-0.046022813
"TCGA-YZ-A980"	"TCGA-YZ-A980"	-0.088617658	-0.14638454	0.076836111	0.065645654	-0.004364444
"TCGA-WC-A883"	"TCGA-WC-A883"	-0.029838015	-0.124496563	0.057067266	0.038505344	0.07131191
"TCGA-WC-A87U"	"TCGA-WC-A87U"	-0.017191804	-0.107254954	0.054068652	0.048036261	-0.109895239
"TCGA-WC-AA9A"	"TCGA-WC-AA9A"	-0.098767368	-0.11237314	0.031512623	0.016746527	-0.03002306
"TCGA-WC-A880"	"TCGA-WC-A880"	-0.038819211	-0.04875314	0.045453732	0.060099147	-0.162888584
"TCGA-WC-A88A"	"TCGA-WC-A88A"	-0.028273156	-0.038833963	0.030930798	0.065711829	-0.118874174
"TCGA-YZ-A985"	"TCGA-YZ-A985"	-0.029076093	-0.021358007	0.05060601	0.061375346	-0.131086588
"TCGA-WC-A881"	"TCGA-WC-A881"	-0.047997333	-0.100812951	0.068369051	0.059668497	-0.110423928
"TCGA-V4-A9EI"	"TCGA-V4-A9EI"	-0.052886704	-0.079623809	0.022610322	0.050350366	-0.013464036
"TCGA-V4-A9E9"	"TCGA-V4-A9E9"	-0.060682554	-0.071585752	0.048879351	0.06386774	-0.15678553
"TCGA-V4-A9EZ"	"TCGA-V4-A9EZ"	-0.029892173	-0.06409562	0.032235091	0.065641266	-0.14252913
"TCGA-V4-A9ES"	"TCGA-V4-A9ES"	-0.086318876	-0.094336511	0.051465781	-0.009071819	-0.111219897
"TCGA-VD-A8KD"	"TCGA-VD-A8KD"	0.069784369	-0.001043472	0.072874795	0.067807902	-0.079703625
"TCGA-WC-AA9E"	"TCGA-WC-AA9E"	-0.070503092	-0.078586323	0.081742942	0.025796646	-0.181853002
"TCGA-V4-A9F7"	"TCGA-V4-A9F7"	-0.05558842	-0.100305674	0.065198587	0.002870286	0.010966197
"TCGA-WC-A882"	"TCGA-WC-A882"	0.002107206	-0.054784089	0.032498361	0.071960552	0.032879758
"TCGA-VD-AA8O"	"TCGA-VD-AA8O"	0.002519464	-0.057904489	0.05092078	0.072779539	-0.128118403
"TCGA-VD-A8KK"	"TCGA-VD-A8KK"	0.001880367	-0.047550099	0.057150131	0.061181538	-0.063346668
"TCGA-WC-A888"	"TCGA-WC-A888"	0.08964999	0.000948338	0.041538133	0.082401423	-0.102878388
"TCGA-YZ-A984"	"TCGA-YZ-A984"	-0.039492656	-0.038234482	0.051987367	0.036335837	0.025520849
"TCGA-WC-A87Y"	"TCGA-WC-A87Y"	0.01032787	-0.101516065	0.062885497	0.027848885	-0.046237577
"TCGA-VD-AA8P"	"TCGA-VD-AA8P"	-0.057120869	-0.095947782	0.048603684	0.020130683	-0.018515907
"TCGA-VD-A8KL"	"TCGA-VD-A8KL"	-0.03371064	-0.080303395	0.039285731	0.050715833	-0.115350377
"TCGA-VD-A8KE"	"TCGA-VD-A8KE"	-0.022173613	-0.070911551	0.05282192	0.067583847	-0.049769416
"TCGA-V4-A9EA"	"TCGA-V4-A9EA"	-0.060806184	-0.086164352	0.042233246	0.061212363	-0.120050035
"TCGA-VQ-A8PC"	"TCGA-VQ-A8PC"	-0.122674333	-0.09540687	0.046187934	0.010243508	-0.070199145
