"FID"	"IID"	"Sigs160.Wolf_TGFB.PCA.17349583"	"Sigs160.Wolf_TGFB.score.21050467"	"Sigs160.Wolf_TREM1.data"	"Sigs160.Wolf_Troester.WoundSig.19887484"	"Core56.Adaptive.Receptor_BCR.Richness.Log10"
"TCGA-M7-A71Y"	"TCGA-M7-A71Y"	-0.3331	-0.2479	-2.869	0.3799	NA
"TCGA-M7-A71Z"	"TCGA-M7-A71Z"	NA	NA	NA	NA	NA
"TCGA-M7-A720"	"TCGA-M7-A720"	-0.2978	-0.1645	-2.996	0.5165	NA
"TCGA-M7-A721"	"TCGA-M7-A721"	-0.1972	-0.2572	-2.925	0.2952	NA
"TCGA-M7-A723"	"TCGA-M7-A723"	NA	NA	NA	NA	NA
"TCGA-M7-A724"	"TCGA-M7-A724"	NA	NA	NA	NA	NA
"TCGA-M7-A725"	"TCGA-M7-A725"	-0.2772	-0.514	-1.543	0.0833	NA
"TCGA-DA-A1I5"	"TCGA-DA-A1I5"	NA	NA	NA	NA	1.73239376
"TCGA-DA-A1I8"	"TCGA-DA-A1I8"	NA	NA	NA	NA	NA
"TCGA-ER-A193"	"TCGA-ER-A193"	NA	NA	NA	NA	NA
"TCGA-ER-A19Q"	"TCGA-ER-A19Q"	NA	NA	NA	NA	NA
"TCGA-ER-A19A"	"TCGA-ER-A19A"	NA	NA	NA	NA	0.301029996
"TCGA-ER-A19L"	"TCGA-ER-A19L"	NA	NA	NA	NA	0.77815125
"TCGA-ER-A19K"	"TCGA-ER-A19K"	-0.2711	-0.1069	0.129	-0.0217	NA
"TCGA-ER-A199"	"TCGA-ER-A199"	NA	NA	NA	NA	2.075546961
"TCGA-ER-A194"	"TCGA-ER-A194"	-0.2047	-0.1827	-0.364	-0.7329	0.301029996
"TCGA-ER-A197"	"TCGA-ER-A197"	NA	NA	NA	NA	NA
"TCGA-ER-A19N"	"TCGA-ER-A19N"	NA	NA	NA	NA	2.399673721
"TCGA-DA-A1I7"	"TCGA-DA-A1I7"	NA	NA	NA	NA	0.954242509
"TCGA-ER-A19E"	"TCGA-ER-A19E"	NA	NA	NA	NA	1.397940009
"TCGA-ER-A196"	"TCGA-ER-A196"	1.0987	0.5673	2.105	0.611	0.903089987
"TCGA-DA-A1HY"	"TCGA-DA-A1HY"	NA	NA	NA	NA	0.698970004
"TCGA-DA-A1HV"	"TCGA-DA-A1HV"	NA	NA	NA	NA	1.84509804
"TCGA-DA-A1I4"	"TCGA-DA-A1I4"	NA	NA	NA	NA	NA
"TCGA-EE-A17Y"	"TCGA-EE-A17Y"	NA	NA	NA	NA	0.477121255
"TCGA-EE-A181"	"TCGA-EE-A181"	NA	NA	NA	NA	2.40654018
"TCGA-ER-A19B"	"TCGA-ER-A19B"	NA	NA	NA	NA	0.77815125
"TCGA-ER-A19G"	"TCGA-ER-A19G"	NA	NA	NA	NA	2.025305865
"TCGA-ER-A19H"	"TCGA-ER-A19H"	NA	NA	NA	NA	1.812913357
"TCGA-ER-A19O"	"TCGA-ER-A19O"	NA	NA	NA	NA	1.491361694
"TCGA-EE-A17X"	"TCGA-EE-A17X"	NA	NA	NA	NA	0.477121255
"TCGA-ER-A19D"	"TCGA-ER-A19D"	NA	NA	NA	NA	1.707570176
"TCGA-ER-A1A1"	"TCGA-ER-A1A1"	NA	NA	NA	NA	2.176091259
"TCGA-DA-A1I2"	"TCGA-DA-A1I2"	NA	NA	NA	NA	1.361727836
"TCGA-DA-A1HW"	"TCGA-DA-A1HW"	NA	NA	NA	NA	2.206825876
"TCGA-EE-A17Z"	"TCGA-EE-A17Z"	NA	NA	NA	NA	NA
"TCGA-EE-A184"	"TCGA-EE-A184"	NA	NA	NA	NA	1.662757832
"TCGA-ER-A195"	"TCGA-ER-A195"	NA	NA	NA	NA	1.491361694
"TCGA-ER-A19J"	"TCGA-ER-A19J"	NA	NA	NA	NA	0.602059991
"TCGA-ER-A19S"	"TCGA-ER-A19S"	NA	NA	NA	NA	2.555094449
"TCGA-D9-A148"	"TCGA-D9-A148"	NA	NA	NA	NA	1.491361694
"TCGA-DA-A1I1"	"TCGA-DA-A1I1"	NA	NA	NA	NA	1.51851394
"TCGA-EE-A182"	"TCGA-EE-A182"	NA	NA	NA	NA	1.342422681
"TCGA-EE-A185"	"TCGA-EE-A185"	NA	NA	NA	NA	0.698970004
"TCGA-ER-A198"	"TCGA-ER-A198"	NA	NA	NA	NA	1.278753601
"TCGA-ER-A19P"	"TCGA-ER-A19P"	NA	NA	NA	NA	2.374748346
"TCGA-ER-A19T"	"TCGA-ER-A19T"	0.2034	0.2098	-2.144	-0.267	NA
"TCGA-D9-A149"	"TCGA-D9-A149"	NA	NA	NA	NA	1.770852012
"TCGA-ER-A19C"	"TCGA-ER-A19C"	NA	NA	NA	NA	0.301029996
"TCGA-ER-A19F"	"TCGA-ER-A19F"	NA	NA	NA	NA	1.041392685
